UID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_diff,Power_proxy,Tool_wear_norm,FailureMode
48,L,302.2,311.3,1570,36.1,108.0,0,0,0,0,0,0,9.100000000000023,5935.2015609169575,0.46956521739130425,NORMAL
49,L,300.4,311.8,1601,36.1,110.0,0,0,0,0,0,0,11.400000000000034,6052.393438871368,0.4782608695652173,NORMAL
50,L,298.3,308.1,1672,41.3,112.0,0,0,0,0,0,0,9.800000000000011,7231.276082130938,0.4869565217391303,NORMAL
51,L,300.3,310.3,1704,29.5,114.0,0,0,0,0,0,0,10.0,5264.052650355058,0.49565217391304334,NORMAL
52,L,300.5,309.5,1777,23.6,116.0,0,0,0,0,0,0,9.0,4391.653314404196,0.5043478260869564,NORMAL
53,L,298.7,309.7,1547,37.4,118.0,0,0,0,0,0,0,11.0,6058.85464776225,0.5130434782608695,NORMAL
54,L,302.6,311.6,1311,53.2,120.8,1,0,1,0,0,0,9.0,7303.7002647716945,0.5252173913043476,HDF
55,L,297.5,308.8,1309,57.3,123.6,0,0,0,0,0,0,11.300000000000011,7854.578536578664,0.5373913043478259,NORMAL
56,L,297.8,309.0,1456,41.2,125.6,0,0,0,0,0,0,11.199999999999989,6281.844894314056,0.546086956521739,NORMAL
57,L,299.8,310.4,1579,36.4,127.6,0,0,0,0,0,0,10.599999999999966,6018.830757355517,0.554782608695652,NORMAL
58,L,301.3,310.0,1665,31.4,129.6,0,0,0,0,0,0,8.699999999999989,5474.853517410932,0.5634782608695651,NORMAL
59,L,299.2,308.4,1509,39.4,131.6,0,0,0,0,0,0,9.199999999999989,6226.071152737323,0.5721739130434781,NORMAL
60,L,301.4,310.5,1633,39.5,133.6,0,0,0,0,0,0,9.100000000000023,6754.790724360974,0.5808695652173912,NORMAL
61,L,302.7,312.3,1421,48.5,136.4,0,0,0,0,0,0,9.600000000000023,7217.128443214272,0.5930434782608694,NORMAL
62,L,302.7,310.6,1564,34.3,138.4,0,0,0,0,0,0,7.900000000000034,5617.712207345173,0.6017391304347826,NORMAL
63,L,302.6,310.5,1461,45.4,141.2,0,0,0,0,0,0,7.899999999999977,6945.99852523396,0.6139130434782608,NORMAL
64,L,301.1,310.7,1376,49.1,144.0,0,0,0,0,0,0,9.599999999999966,7075.034207492406,0.6260869565217392,NORMAL
65,L,297.4,308.3,1561,38.3,146.0,0,0,0,0,0,0,10.900000000000034,6260.806695510514,0.6347826086956522,NORMAL
66,L,302.3,311.6,1544,34.3,148.0,0,0,0,0,0,0,9.300000000000011,5545.874455333085,0.6434782608695652,NORMAL
67,L,298.5,309.7,1613,36.7,150.0,0,0,0,0,0,0,11.199999999999989,6199.105815794012,0.6521739130434783,NORMAL
68,L,300.6,311.7,1553,39.8,152.0,0,0,0,0,0,0,11.099999999999966,6472.665232093098,0.6608695652173913,NORMAL
69,L,298.6,309.8,1370,56.0,154.8,0,0,0,0,0,0,11.199999999999989,8034.099612780297,0.6730434782608696,NORMAL
70,L,300.3,309.9,1527,41.4,156.8,0,0,0,0,0,0,9.599999999999966,6620.152535203626,0.6817391304347826,NORMAL
71,L,299.2,308.4,1434,46.8,159.6,1,0,1,0,0,0,9.199999999999989,7027.86842978651,0.693913043478261,HDF
72,L,301.5,310.9,1400,50.8,162.4,1,0,1,0,0,0,9.399999999999977,7447.668984110202,0.7060869565217393,HDF
73,L,301.3,311.1,1504,39.1,164.4,0,0,0,0,0,0,9.800000000000011,6158.191807468761,0.7147826086956524,NORMAL
74,L,302.3,311.5,1387,47.3,167.2,1,0,1,0,0,0,9.199999999999989,6870.15000660079,0.7269565217391306,HDF
75,L,298.8,308.9,1402,37.9,169.2,0,0,0,0,0,0,10.099999999999966,5564.367964087218,0.7356521739130437,NORMAL
76,L,298.7,309.8,1539,33.4,171.2,0,0,0,0,0,0,11.100000000000023,5382.867684513823,0.7443478260869567,NORMAL
77,L,299.2,309.1,1468,45.6,174.0,0,0,0,0,0,0,9.900000000000034,7010.024183514121,0.7565217391304351,NORMAL
78,L,300.0,309.0,1454,51.7,176.8,0,0,0,0,0,0,9.0,7871.972487904041,0.7686956521739133,NORMAL
79,L,302.6,310.5,1748,28.2,178.8,0,0,0,0,0,0,7.899999999999977,5162.013720966461,0.7773913043478263,NORMAL
80,L,300.3,310.2,1492,52.3,180.0,1,1,0,0,0,0,9.899999999999977,8171.450043595243,0.782608695652174,TWF
81,L,297.4,308.4,1434,39.9,2.0,0,0,0,0,0,0,11.0,5991.708340779525,0.008695652173913044,NORMAL
82,L,297.8,308.9,1518,40.4,4.0,0,0,0,0,0,0,11.099999999999966,6422.169366174399,0.017391304347826087,NORMAL
83,L,297.1,308.4,1583,31.9,6.0,0,0,0,0,0,0,11.299999999999955,5288.106778106044,0.02608695652173913,NORMAL
84,L,298.7,309.1,1607,32.7,8.0,0,0,0,0,0,0,10.400000000000034,5502.90793980749,0.034782608695652174,NORMAL
85,L,302.0,310.8,1445,49.1,10.8,1,0,1,0,0,0,8.800000000000011,7429.814265862301,0.04695652173913044,HDF
86,L,303.3,311.4,1630,32.5,12.8,0,0,0,0,0,0,8.099999999999966,5547.5290274639765,0.05565217391304348,NORMAL
87,L,302.8,310.6,1670,29.1,14.8,0,0,0,0,0,0,7.800000000000011,5089.065939550106,0.06434782608695652,NORMAL
88,L,302.0,309.8,1532,39.4,16.8,0,0,0,0,0,0,7.800000000000011,6320.968194826759,0.07304347826086957,NORMAL
89,L,297.5,308.6,1585,37.6,18.8,0,0,0,0,0,0,11.100000000000023,6240.878526111243,0.0817391304347826,NORMAL
90,L,297.4,308.3,1472,45.5,21.6,0,0,0,0,0,0,10.900000000000034,7013.710318894332,0.09391304347826088,NORMAL
91,L,302.7,312.3,1858,25.4,24.4,0,0,0,0,0,0,9.600000000000023,4942.060347313127,0.10608695652173913,NORMAL
92,L,301.7,310.9,1557,39.4,26.4,0,0,0,0,0,0,9.199999999999989,6424.117153619624,0.11478260869565218,NORMAL
93,L,299.8,309.4,1480,40.9,28.4,0,0,0,0,0,0,9.599999999999966,6338.896216903245,0.12347826086956523,NORMAL
94,L,298.9,310.6,1387,52.7,31.2,0,0,0,0,0,0,11.700000000000045,7654.480028496018,0.1356521739130435,NORMAL
95,L,298.6,309.9,1630,30.6,33.2,0,0,0,0,0,0,11.299999999999955,5223.21194585839,0.14434782608695654,NORMAL
96,L,302.2,311.2,1928,23.1,36.0,0,0,0,0,0,0,9.0,4663.882789813264,0.1565217391304348,NORMAL
97,L,300.9,310.7,1573,31.2,38.0,0,0,0,0,0,0,9.800000000000011,5139.394253860614,0.16521739130434782,NORMAL
98,L,300.6,311.7,1432,39.2,40.0,0,0,0,0,0,0,11.099999999999966,5878.38062178903,0.17391304347826086,NORMAL
99,L,300.5,309.5,1379,55.6,42.8,1,0,1,0,0,0,9.0,8029.114952436602,0.18608695652173912,HDF
100,L,297.3,308.2,1553,33.5,44.8,0,0,0,0,0,0,10.899999999999977,5448.097619977859,0.19478260869565217,NORMAL
101,L,298.9,308.6,1522,46.4,47.6,0,0,0,0,0,0,9.700000000000045,7395.392882354468,0.2069565217391304,NORMAL
102,L,299.7,310.3,1386,46.6,50.4,0,0,0,0,0,0,10.600000000000023,6763.597655766537,0.21913043478260866,NORMAL
103,L,297.9,308.1,1531,40.8,52.4,0,0,0,0,0,0,10.200000000000045,6541.298559598524,0.2278260869565217,NORMAL
104,L,298.4,309.3,1545,36.9,54.4,0,0,0,0,0,0,10.900000000000034,5970.125599249363,0.23652173913043475,NORMAL
105,L,299.3,308.4,1406,47.4,57.2,1,0,1,0,0,0,9.099999999999966,6978.985248096653,0.24869565217391298,HDF
106,L,300.4,311.7,1459,45.6,60.0,0,0,0,0,0,0,11.300000000000011,6967.047196013013,0.26086956521739124,NORMAL
107,L,302.3,311.0,1657,31.1,62.0,0,0,0,0,0,0,8.699999999999989,5396.491724654891,0.2695652173913043,NORMAL
108,L,297.5,308.2,1647,31.3,64.0,0,0,0,0,0,0,10.699999999999989,5398.4185681490935,0.27826086956521734,NORMAL
109,L,300.4,311.7,1373,47.2,66.8,0,0,0,0,0,0,11.300000000000011,6786.426562382624,0.2904347826086956,NORMAL
110,L,300.9,310.6,1538,36.7,68.8,0,0,0,0,0,0,9.700000000000045,5910.864689827148,0.29913043478260865,NORMAL
111,L,298.2,308.7,1408,46.3,71.6,0,0,0,0,0,0,10.5,6826.722724152667,0.31130434782608685,NORMAL
112,L,300.6,312.0,1490,42.2,73.6,0,0,0,0,0,0,11.399999999999977,6584.568762413967,0.3199999999999999,NORMAL
113,L,298.1,308.7,1642,30.3,75.6,0,0,0,0,0,0,10.599999999999966,5210.080088566384,0.32869565217391294,NORMAL
114,L,301.7,310.1,1402,50.1,78.4,1,0,1,0,0,0,8.400000000000034,7355.536543555927,0.3408695652173912,HDF
115,L,298.2,308.0,1658,30.0,80.4,0,0,0,0,0,0,9.800000000000011,5208.760619651877,0.34956521739130425,NORMAL
116,L,299.4,310.7,1551,41.2,82.4,0,0,0,0,0,0,11.300000000000011,6691.718015852404,0.3582608695652173,NORMAL
117,L,297.8,307.3,1438,44.5,84.4,0,0,0,0,0,0,9.5,6701.121849862148,0.36695652173913035,NORMAL
118,L,298.8,308.5,1527,36.2,86.4,0,0,0,0,0,0,9.699999999999989,5788.635791651481,0.3756521739130434,NORMAL
119,L,300.4,311.6,1200,76.6,89.2,1,0,0,1,0,0,11.200000000000045,9625.839890599125,0.38782608695652165,PWF
120,L,296.2,307.1,1441,41.7,91.2,0,0,0,0,0,0,10.900000000000034,6292.578669213821,0.39652173913043465,NORMAL
121,L,300.6,310.2,1622,34.1,93.2,0,0,0,0,0,0,9.599999999999966,5792.070599619406,0.4052173913043477,NORMAL
122,L,296.7,307.8,1400,47.5,96.0,0,0,0,0,0,0,11.100000000000023,6963.8637154573735,0.41739130434782595,NORMAL
123,L,302.5,312.1,1534,38.6,98.0,0,0,0,0,0,0,9.600000000000023,6200.708028047342,0.426086956521739,NORMAL
124,L,301.6,310.8,1392,42.4,100.0,1,0,1,0,0,0,9.199999999999989,6180.643722966415,0.43478260869565205,HDF
125,L,301.7,310.7,1763,25.9,102.0,0,0,0,0,0,0,9.0,4781.682042347368,0.4434782608695651,NORMAL
126,L,300.4,309.5,1525,51.3,104.8,0,0,0,0,0,0,9.100000000000023,8192.488242398784,0.45565217391304336,NORMAL
127,L,302.7,310.6,1690,26.7,106.8,0,0,0,0,0,0,7.900000000000034,4725.2695102644075,0.4643478260869564,NORMAL
128,L,300.9,310.8,1517,44.3,108.8,0,0,0,0,0,0,9.900000000000034,7037.492175282007,0.47304347826086945,NORMAL
129,L,301.4,310.8,1362,53.2,111.6,1,0,1,0,0,0,9.400000000000034,7587.825904362355,0.48521739130434766,HDF
130,L,302.7,310.6,1501,48.7,114.4,0,0,0,0,0,0,7.900000000000034,7654.8779635654755,0.4973913043478259,NORMAL
131,L,302.0,309.8,1701,27.2,116.4,0,0,0,0,0,0,7.800000000000011,4845.089854072322,0.506086956521739,NORMAL
132,L,299.2,308.4,1877,23.9,119.2,0,0,0,0,0,0,9.199999999999989,4697.759630594473,0.5182608695652172,NORMAL
133,L,298.6,309.0,1469,46.0,122.0,0,0,0,0,0,0,10.399999999999977,7076.3327324558895,0.5304347826086955,NORMAL
134,L,298.9,308.6,1539,45.4,124.8,0,0,0,0,0,0,9.700000000000045,7316.832122063701,0.5426086956521737,NORMAL
135,L,297.5,308.4,1441,44.5,126.8,0,0,0,0,0,0,10.899999999999977,6715.101937170623,0.5513043478260867,NORMAL
136,L,297.4,308.4,1474,43.6,128.8,0,0,0,0,0,0,11.0,6729.961670422103,0.5599999999999998,NORMAL
137,L,298.7,309.7,1462,46.8,131.6,0,0,0,0,0,0,11.0,7165.093196895313,0.5721739130434781,NORMAL
138,L,297.9,309.1,1504,43.0,133.6,0,0,0,0,0,0,11.200000000000045,6772.436003098637,0.5808695652173912,NORMAL
139,L,299.7,310.3,1505,37.7,135.6,0,0,0,0,0,0,10.600000000000023,5941.6418258568165,0.5895652173913042,NORMAL
140,L,298.6,310.0,1517,39.0,137.6,0,0,0,0,0,0,11.399999999999977,6195.534872144432,0.5982608695652173,NORMAL
141,L,299.7,309.3,1546,37.2,139.6,0,0,0,0,0,0,9.600000000000023,6022.558780637776,0.6069565217391303,NORMAL
142,L,299.2,309.1,1387,48.7,142.4,0,0,0,0,0,0,9.900000000000034,7073.494827092146,0.6191304347826087,NORMAL
143,L,301.8,311.0,1606,33.3,144.4,0,0,0,0,0,0,9.199999999999989,5600.391559848381,0.6278260869565216,NORMAL
144,L,300.3,309.9,1377,55.3,147.2,0,0,0,0,0,0,9.599999999999966,7974.210384827364,0.6399999999999999,NORMAL
145,L,297.9,308.0,1501,36.7,149.2,0,0,0,0,0,0,10.100000000000023,5768.665734350163,0.648695652173913,NORMAL
146,L,300.7,312.0,1550,32.4,151.2,0,0,0,0,0,0,11.300000000000011,5259.026102109314,0.657391304347826,NORMAL
147,L,299.5,310.7,1589,33.5,153.2,0,0,0,0,0,0,11.199999999999989,5574.389644652169,0.6660869565217391,NORMAL
148,L,300.3,311.7,1515,37.5,155.2,0,0,0,0,0,0,11.399999999999977,5949.391087735671,0.6747826086956521,NORMAL
149,L,303.8,313.1,2497,13.0,158.0,1,0,0,1,0,0,9.300000000000011,3399.307970939276,0.6869565217391305,PWF
150,L,304.4,313.7,1607,33.5,160.0,0,0,0,0,0,0,9.300000000000011,5637.535656989324,0.6956521739130435,NORMAL
151,L,298.1,308.5,1498,49.4,162.8,0,0,0,0,0,0,10.399999999999977,7749.387542560967,0.7078260869565218,NORMAL
152,L,299.0,308.4,1571,38.6,164.8,0,0,0,0,0,0,9.399999999999977,6350.26878230924,0.7165217391304348,NORMAL
153,L,303.6,312.2,1696,30.7,166.8,0,0,0,0,0,0,8.599999999999966,5452.464433766349,0.7252173913043479,NORMAL
154,L,301.1,311.6,1488,43.4,168.8,0,0,0,0,0,0,10.5,6762.718009823532,0.7339130434782609,NORMAL
155,L,297.5,308.9,1596,30.7,170.8,0,0,0,0,0,0,11.399999999999977,5130.974785548994,0.7426086956521739,NORMAL
156,L,298.1,307.9,2161,17.5,173.6,1,0,0,1,0,0,9.799999999999955,3960.2393392377335,0.7547826086956523,PWF
157,L,296.3,307.3,1567,31.4,175.6,0,0,0,0,0,0,11.0,5152.609886956715,0.7634782608695653,NORMAL
158,L,295.6,306.0,1949,21.9,178.4,0,0,0,0,0,0,10.399999999999977,4469.76377974795,0.7756521739130436,NORMAL
159,L,299.3,310.9,1669,32.4,180.4,0,0,0,0,0,0,11.599999999999966,5662.783589948674,0.7843478260869566,NORMAL
160,L,301.7,310.7,2023,20.9,183.2,0,0,0,0,0,0,9.0,4427.624550287798,0.796521739130435,NORMAL
161,L,298.0,308.2,1620,35.8,185.2,0,0,0,0,0,0,10.199999999999989,6073.326917919787,0.805217391304348,NORMAL
162,L,300.2,310.4,1518,41.8,187.2,0,0,0,0,0,0,10.199999999999989,6644.7197897547,0.8139130434782611,NORMAL
163,L,298.6,309.7,1703,26.1,189.2,0,0,0,0,0,0,11.099999999999966,4654.615091485173,0.8226086956521741,NORMAL
164,L,298.6,310.1,1721,27.2,191.2,0,0,0,0,0,0,11.5,4902.057400857418,0.8313043478260872,NORMAL
165,L,300.4,311.8,2261,14.9,194.0,1,0,0,1,0,0,11.400000000000034,3527.8933582507066,0.8434782608695655,PWF
166,L,298.2,307.6,1368,51.8,196.8,1,0,1,0,1,0,9.400000000000034,7420.693175191377,0.8556521739130438,HDF+OSF
167,L,302.1,310.6,1385,53.6,199.6,1,0,1,0,1,0,8.5,7773.975741063064,0.8678260869565221,HDF+OSF
168,L,300.8,309.7,1997,20.7,202.4,0,0,0,0,0,0,8.899999999999977,4328.894765160983,0.8800000000000004,NORMAL
169,L,304.0,313.0,1407,42.1,204.4,1,0,1,0,0,0,9.0,6203.0432785865105,0.8886956521739134,HDF
170,L,300.0,309.2,1759,27.9,206.4,0,0,0,0,0,0,9.199999999999989,5139.237174227935,0.8973913043478264,NORMAL
171,L,302.4,311.1,1446,42.9,208.4,1,0,1,0,0,0,8.700000000000045,6496.122457239902,0.9060869565217395,HDF
172,L,303.9,313.2,1590,31.9,210.4,0,0,0,0,0,0,9.300000000000011,5311.490699424262,0.9147826086956525,NORMAL
173,L,300.9,310.8,1482,37.0,212.4,0,0,0,0,0,0,9.900000000000034,5742.203052231424,0.9234782608695656,NORMAL
174,L,297.9,307.3,1824,26.3,214.0,1,1,0,0,0,0,9.400000000000034,5023.532316796223,0.9304347826086956,TWF
175,L,298.6,309.6,1540,35.8,2.0,0,0,0,0,0,0,11.0,5773.4095392570825,0.008695652173913044,NORMAL
176,L,296.8,307.9,1337,56.5,4.8,0,0,0,0,0,0,11.099999999999966,7910.582661616658,0.020869565217391303,NORMAL
177,L,299.5,309.3,1442,46.2,7.6,0,0,0,0,0,0,9.800000000000011,6976.471973973782,0.03304347826086956,NORMAL
178,L,300.0,311.4,1590,33.6,9.6,0,0,0,0,0,0,11.399999999999977,5594.548197512703,0.041739130434782605,NORMAL
179,L,301.5,310.8,1417,49.7,12.4,1,0,1,0,0,0,9.300000000000011,7374.878282326528,0.05391304347826086,HDF
180,L,302.4,312.0,1508,36.9,14.4,0,0,0,0,0,0,9.600000000000023,5827.151717584491,0.0626086956521739,NORMAL
181,L,297.7,307.2,1668,37.8,16.4,0,0,0,0,0,0,9.5,6602.6224481965955,0.07130434782608695,NORMAL
182,L,297.6,309.3,1610,35.0,18.4,0,0,0,0,0,0,11.699999999999989,5900.958200992827,0.07999999999999999,NORMAL
183,L,301.2,311.4,1757,28.0,20.4,0,0,0,0,0,0,10.199999999999989,5151.7930728667825,0.08869565217391304,NORMAL
184,L,299.7,309.3,1574,35.8,22.4,0,0,0,0,0,0,9.600000000000023,5900.874425188732,0.09739130434782609,NORMAL
185,L,300.2,309.8,1827,23.0,25.2,0,0,0,0,0,0,9.600000000000023,4400.4288298832225,0.10956521739130434,NORMAL
186,L,297.9,308.0,1490,46.2,28.0,0,0,0,0,0,0,10.100000000000023,7208.69850292714,0.12173913043478261,NORMAL
187,L,299.3,308.3,1651,28.0,30.0,0,0,0,0,0,0,9.0,4840.984839671632,0.13043478260869565,NORMAL
188,L,297.8,309.0,1340,56.9,32.8,0,0,0,0,0,0,11.199999999999989,7984.462448853578,0.1426086956521739,NORMAL
189,L,296.9,307.7,1464,41.4,34.8,0,0,0,0,0,0,10.800000000000011,6347.02246990053,0.15130434782608695,NORMAL
190,L,300.8,311.7,1432,45.8,37.6,0,0,0,0,0,0,10.899999999999977,6868.107971375957,0.16347826086956518,NORMAL
191,L,302.1,310.8,1565,35.3,39.6,0,0,0,0,0,0,8.699999999999989,5785.190511708043,0.17217391304347823,NORMAL
192,L,298.6,309.7,1356,54.0,42.4,0,0,0,0,0,0,11.099999999999966,7667.9993488819655,0.1843478260869565,NORMAL
193,L,301.0,310.9,1515,37.3,44.4,0,0,0,0,0,0,9.899999999999977,5917.661001934413,0.19304347826086954,NORMAL
194,L,301.9,310.9,1486,40.3,46.4,0,0,0,0,0,0,9.0,6271.22631114492,0.20173913043478256,NORMAL
195,L,302.7,310.5,1551,35.9,48.4,0,0,0,0,0,0,7.800000000000011,5830.890212842264,0.2104347826086956,NORMAL
196,L,304.5,313.7,1670,32.9,50.4,0,0,0,0,0,0,9.199999999999989,5753.617505539466,0.21913043478260866,NORMAL
197,L,301.1,310.1,1564,36.8,52.4,0,0,0,0,0,0,9.0,6027.1664498630425,0.2278260869565217,NORMAL
198,L,303.9,313.2,1499,37.4,54.4,0,0,0,0,0,0,9.300000000000011,5870.861743371437,0.23652173913043475,NORMAL
199,L,298.4,308.0,1540,37.8,56.4,0,0,0,0,0,0,9.600000000000023,6095.946385025634,0.24521739130434778,NORMAL
200,L,302.0,310.9,1546,34.4,58.4,0,0,0,0,0,0,8.899999999999977,5569.247904675793,0.2539130434782608,NORMAL
201,L,297.6,309.0,1491,43.2,60.4,0,0,0,0,0,0,11.399999999999977,6745.125090963429,0.2626086956521739,NORMAL
202,L,298.2,308.6,1433,39.5,62.4,0,0,0,0,0,0,10.400000000000034,5927.504658915661,0.2713043478260869,NORMAL
203,L,299.5,309.3,1462,46.7,65.2,0,0,0,0,0,0,9.800000000000011,7149.783168696819,0.2834782608695652,NORMAL
204,L,301.3,310.0,1438,40.9,67.2,1,0,1,0,0,0,8.699999999999989,6159.008621558693,0.29217391304347823,HDF
205,L,300.0,309.1,1489,40.3,69.2,0,0,0,0,0,0,9.100000000000023,6283.886929538887,0.3008695652173913,NORMAL
206,L,298.9,308.3,1576,36.6,71.2,0,0,0,0,0,0,9.400000000000034,6040.403026910167,0.3095652173913043,NORMAL
207,L,300.3,310.4,1742,25.9,73.2,0,0,0,0,0,0,10.099999999999966,4724.724967537785,0.3182608695652173,NORMAL
208,L,301.1,311.7,1816,24.5,76.0,0,0,0,0,0,0,10.599999999999966,4659.191344783902,0.3304347826086956,NORMAL
209,L,295.6,306.0,1419,51.1,78.8,0,0,0,0,0,0,10.399999999999977,7593.323691506138,0.34260869565217383,NORMAL
210,L,298.0,308.2,1357,48.2,81.6,0,0,0,0,0,0,10.199999999999989,6849.446911013634,0.3547826086956521,NORMAL
211,L,297.2,308.5,1766,25.8,83.6,0,0,0,0,0,0,11.300000000000011,4771.325258566034,0.36347826086956514,NORMAL
